id,title,first_author,year,journal,doi,key_words,main_aim,specific_aims,time_period_period_young_kyr,time_period_period_old_kyr,time_coverage_did_the_authors_deal_with_uneven_temporal_distribution_of_the_data,time_coverage_did_the_authors_use_bins_for_dealing_with_uneven_temporal_distribution,time_coverage_did_the_authors_use_interpolation_for_dealing_with_uneven_temporal_distribution,spatial_scale,region,country,study_taxa_terrestrial_plants,study_taxa_other,number_of_modern_pollen_records,number_of_fossil_pollen_records,method_of_choosing_pollen_data_did_the_authors_have_any_specific_method_for_selecting_records,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_amount_of_information,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_their_length,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_presence_of_specific_taxa_life_forms,source_of_pollen_data_experimental_study,source_of_pollen_data_did_the_authors_source_from_database,source_of_pollen_data_which_database,source_of_pollen_data_did_the_authors_source_from_published_study,source_of_pollen_data_did_the_authors_source_from_unpublished_private_data,pollen_nomenclature_harmonisation,pollen_counts_corrections,age_depth_recalculation,source_of_fuctional_information_plant_functional_types,source_of_functional_information_plant_traits,source_of_fuctional_information_other,source_of_traits_data_did_the_authors_source_from_database,source_of_trait_data_which_database,source_of_traits_data_did_the_authors_source_from_published_study,source_of_traits_data_did_the_authors_source_from_unpublished_private_data,gap_filling_did_the_authors_somehow_gap_fill_missing_trait_data,gap_filling_how_did_authors_gap_fill_the_missing_trait_values,traits_did_the_authors_use_plant_height,traits_did_the_authors_use_leaf_morphology,traits_did_the_authors_use_sla,traits_did_the_authors_use_la,traits_did_the_authors_use_leaf_p,traits_did_the_authors_use_leaf_n,traits_did_the_authors_use_leaf_c,traits_did_the_authors_use_ldmc,traits_did_the_authors_use_seed_traits,traits_did_the_authors_use_wood_traits,traits_others,pf_ts_based_on_which_study_authors_assign_pollen_taxa_to_pf_ts_or_any_other_classes,bayesian_modelling_for_aligning_pollen_types_with_plant_species,cwm,linking_fossil_pollen_to_plant_taxa_did_the_authors_aggregate_the_traits,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_specialized_linking_table,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_probabilistic_modelling,effect_of_variables_on_trait_composition_did_the_authors_test_it,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_climate,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_humans,statistical_method_to_fit_the_temporal_trend,results,note
26,Global biome changes over the last 21 000 years inferred from model–data comparisons,"Li, Ch.",2025,Climate of the Past,https://doi.org/10.5194/cp-21-1001-2025,NA,"Reconstruct global megabiome dynamics over the last 21,000 years and compare them with Earth System Model simulations.","1) Present global megabiome dynamics since the LGM.
2) compare reconstructions with six transient ESM simulations.
3) identify regions and periods with strong data–model mismatches.",0,21,TRUE,TRUE,FALSE,Global,NA,NA,TRUE,FALSE,NA,3455,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"LegacyPollen 2.0, Neotoma, Pangaea",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Harrison et al. (2010, 2017)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Global vegetation shifted from open glacial megabiomes to forest-dominated Holocene megabiomes after the LGM. Reconstructions and ESM simulations generally agreed, with the largest mismatches during the LGM and early deglaciation. Late-Holocene human impacts did not substantially alter broad-scale global megabiome patterns.",NA
27,"Functional traits from
 pollen and plant assemblages show complex relationships on the Tibetan Plateau: A deep insight into plant functional paleoecology","Liao, M.",2025,Global and Planetary Change,https://doi.org/10.1016/j.gloplacha.2025.105031,"Pollen analysis, Plant functional traits,
 Community-weighted mean (CWM), Functional diversity, Climate gradient, Tibetan Plateau","To evaluate the accuracy of pollen-based
 functional traits in reflecting functional trait composition and functional diversity within their surrounding plant communities.","1) Assess the accuracy of CWMs and FDs inferred from pollen assemblage in representing
plant communities, both across the entire study area (regardless of vegetation types) and
within different vegetation types.

2) Whether the trends of CWMs and FDs inferred from pollen assemblages along climate
gradients can accurately reflect the relationships between plant-based CWMs and FDs with
climatic variables.",0,0,NA,NA,NA,Regional,Asia,"China, 
Tibet",TRUE,FALSE,207,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,TiP-Leaf dataset,TRUE,FALSE,TRUE,"assigning the
regional average
trait value",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"GAM, GLM","Pollen-inferred CWMs and FDs can provide valuable insights into long-term ecological
processes, especially when paired with climate data.

The relationships are complex and context-dependent.

Trait-based paleoecology requires careful trait selection, understanding of vegetation
context, and awareness of taphonomic and taxonomic biases.

The study strengthens the methodological basis for using functional traits from fossil pollen
records to interpret ecosystem responses to past climate change",NA
28,Late onset of the Holocene rainfall maximum in northeastern China inferred from a pollen record from the sediments of Tianchi Crater Lake,"Liu, X.",2019,Quaternary Research,10.1017/qua.2018.137,"Northeastern China, Holocene summer monsoon maximum, Tianchi Crater lake, Pollen-based quantitative reconstruction",To quantitatively reconstruct Holocene precipitation and temperature changes from a northeastern China pollen record to resolve the debate surrounding the timing and forcing mechanisms of the Holocene summer monsoon maximum (HSMM) in the region.,"1) To extract and analyze fossil pollen spectra from the sediments of Tianchi Crater Lake covering the past 10,300 years. 
2) To apply the plant functional type-modern analogue technique (PFT-MAT) to quantitatively reconstruct annual precipitation and temperature.
3) To compare the new quantitative records with existing paleoclimate sequences across China and high-latitude zones to assess regional forcing factors (e.g., insolation, ice volume, SSTs).",0,10.3,FALSE,FALSE,FALSE,Regional,Asia,China,TRUE,FALSE,211,2,NA,NA,NA,NA,TRUE,TRUE,China Quaternary Pollen Data Base,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Peyron et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Stratigraphically constrained cluster analysis via CONISS (for pollen zones) and a 5-point running average curve to track long-term climatic trends.,"Vegetation Succession: Shifted from a sparse forest steppe (10,300–6900 cal yr BP) to a typical forest steppe (6900–5500 cal yr BP), transitioning into a deciduous broad-leaved forest dominated by Quercus and Betula during the peak moisture period, before reverting to forest-steppe variations in the late Holocene.
Precipitation Maximum: Annual precipitation gradually increased during the early to mid-Holocene, showcasing a distinct Holocene Summer Monsoon Maximum (HSMM) relatively late, between ~5500 and 3100 cal yr BP.
Forcing Complexity: The delayed onset of peak monsoonal rainfall cannot be attributed to a single trigger, but indicates a complex internal climate mechanism driven by ice-sheet retreat, ENSO variations, and Okhotsk Sea-ice dynamics.",NA
29,"Mid- to Late-Holocene pollen-based biome reconstructions
 for Colombia","Marchant, R.",2001,Quaternary Science Reviews,10.1016/S0277-3791(00)00182-7,NA,"They aim to determine the causal factors in driving vegetation change
 since 6000 yr ago be they climatic, edaphic or human-induced and, 
ultimately to place the present composition and distribution of Colombian 
vegetation within a relatively long timeframe.","1) To construct an a priori assignment matrix pairing northern 
Andean pollen taxa into explicit Plant Functional Types (PFTs).

2) To validate the biomization equations by comparing modern 
pollen-derived biomes against modern potential vegetation maps.

3) To map regional adjustments and shifts in forest types 
versus open savanna biomes during the mid-to-late Holocene
 (back to 6000 radiocarbon years BP).",0,6,TRUE,TRUE,FALSE,Regional,South America,Colombia,TRUE,FALSE,NA,37,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Modern modern pollen-derived biome maps accurately matched
 potential natural vegetation distributions, notably capturing complex
 altitorial switches across the Andean Cordilleras. At 6000 BP, biome
 distributions showed a clear upward shift in mountain vegetation belts
 and an expansion of tropical forest types into areas currently dominated 
by savannas, providing evidence of significantly warmer and more humid 
macroclimatic conditions during the mid-Holocene compared to the modern 
baseline.",NA
30,A reconstruction of Colombian biomes derived from  modern pollen data along an altitude gradient,"Marchant, R.",2001,Review of Paleobotany and Palynology,NA,"biomization, Colombia, human impact, modern pollen, plant functional types, tree line","To test and adapt the quantitative objective ""biomization"" methodology using a modern surface (core-top) pollen data network from Colombia along an altitudinal gradient to reconstruct tropical mountain ecosystems.","1) To define a regional assignment scheme matching Colombian pollen taxa to Plant Functional Types (PFTs) and broad biomes.

2) To evaluate if the biomization algorithm can accurately predict the positioning of the tropical upper forest line (tree line).

3) To validate pollen-derived biome models against real, site-specific modern ecological vegetation surveys.",0,0,NA,NA,NA,Regional,South America,Colombia,TRUE,FALSE,22,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Altitudinal Biome Zonation: The objective biomization method successfully captured the structural transition of vegetation across the high-elevation landscape.

Tree Line Identification: The algorithm successfully identified the position of the tree line boundary, locating it between 3200 and 3500 meters altitude. This closely matches real-world field observations in the Colombian cordilleras.

Methodological Viability: The study demonstrates that the biomization technique is a reliable tool for tropical mountain settings. This provides a strong, calibrated foundation for future papers to reconstruct past shifts in Andean temperature and vegetation zones using fossil pollen cores.",NA
31,"Pollen-based biome reconstructions for Colombia at 3000, 
6000, 9000, 12 000, 15 000 and 18 000 14C yr ago: 
Late Quaternary tropical vegetation dynamics","Marchant, R.",2002,Journal of Quartenary Science,10.1002/jqs.669,"biome, colombia, environmental change, 
Last Glacial Maximum, plant functional types,
 pollen, BIOME-6000","To reconstruct Colombian vegetation (biomes) dynamically from the
 Last Glacial Maximum to the modern era using a standardized pollen
 dataset.","1) Group pollen taxa into Plant Functional Types (PFTs) 
and biomes using an objective assignment method.  

2) Map structural vegetation changes across Colombia at 
3000-year intervals.  

3) Validate the biomization model using modern core-top 
pollen samples against potential natural vegetation.",0,18,FALSE,TRUE,FALSE,Regional,South America,Colombia,TRUE,FALSE,45,45,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Latin America Pollen 
Database",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Prentice & Webb (1998), adapted by Marchant et al. (2001)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"The LGM (18k yr BP) was cold and dry, depressing the treeline 
by ~1200 m. The Early Holocene (9k yr BP) warmed and moistened,
 followed by a severe mid-Holocene dry phase (6k yr BP), before
 returning to cooler, modern-like conditions with emerging human
 impacts around 3k yr BP. Colombia's complex topography created
 highly localized/heterogeneous vegetation responses.",NA
32,"Pollen-based biome reconstructions for Latin America at 0, 
6000 and 18 000 radiocarbon years ago","Marchant, R.",2009,Climate of the Past,10.5194/cp-5-725-2009,NA,"To reconstruct and map regional vegetation patterns across the Latin 
American continent at three discrete temporal frames (0, 6000, and 18,000
 yr BP) using a standardized biomization methodology.","1) To adapt the global BIOME 6000 classification parameters to
 better represent the extreme ecological gradients of the 
Neotropics and high-altitude Andean environments; 
2) to validate 
the biomization method using modern surface-sample data; 
3) and to provide a unified dataset for evaluating large-scale 
environmental transitions since the Last Glacial Maximum.",0,18,FALSE,TRUE,FALSE,Continental,Latin America,NA,TRUE,FALSE,381,161,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Latin American Pollen Database,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1992, 1996),
Marchant et al. (2001, 2002)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,"Modern surface evaluation proves that the biomization technique 
accurately depicts the baseline landscape layout of Latin America. 
At 6000 yr BP, alterations across the Amazon and Andean borders 
point to more open savanna structures and lower lake levels due to 
varied seasonal precipitation. At 18,000 yr BP, low temperatures and 
decreased atmosphericCO2 concentration values led to compressed 
tropical rainforest ranges, lower mountain treelines, and expanded 
cold-adapted grassland and dry scrub environments.",NA
33,Quantitative biome reconstruction using modern and late Quaternary pollen data from the southern part of the Russian Far East,"Mokhova, L.",2009,"Quaternary Science 
Reviews",NA,NA,"To establish and test an optimized regional pollen-to-biome assignment matrix using a comprehensive modern surface pollen dataset from the southern Russian Far East, and to apply it to a late Quaternary sediment record to quantitatively track vegetation change.","1) To assign 70 terrestrial pollen taxa to distinct Plant Functional Types (PFTs) corresponding to 8 regional forest, steppe, and tundra biomes.

2) To assess the statistical accuracy and robust nature of the biomization method across a modern network of 286 surface spectra spanning clear latitudinal and altitudinal climate sectors.

3) To reconstruct changes in vegetation and regional landscape openness over the last ca. 32,000 years using a high-resolution radiocarbon-dated peat sediment core from the Lower Amur River basin.",0,22,TRUE,FALSE,TRUE,Regional,Asia,Russia,TRUE,FALSE,286,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al.(1996), Tarasov et al.(1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Modern Reference Baseline: The biomization algorithm accurately matched the modern potential natural forest or steppe biome across the majority of the 286 reference sites. It effectively distinguished between the cold conifer taiga of northern latitudes and the structurally diverse cool mixed forests characteristic of the southern Primorye zone.

Pre-LGM and Glacial Dynamics (ca. 32,000–18,000 yr BP): Reconstructed a landscape dominated by the Taiga biome mixed with prominent Tundra and Cold Steppe scores. This indicates a highly open, cold, and arid landscape during the Last Glacial Maximum, with cold-tolerant Larix and herbaceous communities dominating the Lower Amur valley.

Deglaciation and Holocene Recovery: * Early Holocene: Witnessed a clean transition to Cool Conifer Forest as temperatures warmed and moisture increased, facilitating the rapid expansion of Picea and Abies.

Mid-Holocene Climate Optimum: Marked by a significant expansion of the Cool Mixed Forest biome, indicating a substantial influx of thermophilous broad-leaved trees (e.g., Quercus, Ulmus, Tilia). This represents the warmest and most humid phase of the sequence, with temperatures higher than today.

Methodological Confirmation: The successful reconstruction demonstrates that the standard northern Eurasian biomization matrix can be reliably applied to the high-latitude Pacific edge of Asia, providing an objective framework for past climate model-data comparisons.",NA
34,"Palaeovegetation in China during the late Quaternary: 
Biome reconstructions based on a global scheme of plant 
functional types","Ni, J.",2010,"Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2010.02.008,"Biome, Biomization, China, Last glacial maximum, 
Mid-Holocene, Plant functional types (PFTs), 
Pollen Vegetation shift","Here we apply the global scheme of PFTs to a comprehensive set of 
pollen records available from China to test the applicability of the 
global scheme of PFTs in China, and to obtain a well-founded 
reconstruction of changing palaeovegetation patterns.","In this study, we apply the global scheme of PFTs to a 
comprehensive set of surface, MH and LGM pollen records 
from China. The modern vegetation is reconstructed from 
surface pollen samples in order to test the applicability of 
the global scheme of PFTs in China, and to demonstrate a 
good empirical relationship between modern vegetation and 
surface pollen. Then the same procedure is applied to the 
MH and LGM in order to obtain a well-founded reconstruction 
of changing palaeovegetation patterns.",0,18,TRUE,TRUE,FALSE,Regional,Asia,China,TRUE,FALSE,806,238,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Chinese Pollen Database,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
35,"Biome distribution over the last 22,000 yr in China","Ni, J.",2014,"Palaeogeography, Palaeoclimatology, Palaeoecology",http://dx.doi.org/10.1016/j.palaeo.2014.04.023,"Anthropogenic biome, Biomization, Holocene, Last glacial maximum, Plant functional types, Pollen dataset","To reconstruct and map the continuous spatial and temporal distribution patterns of macro-vegetation biomes across China during the last 22,000 years using a comprehensive synthesized fossil pollen database.","1) To compile and taxonomically harmonize fossil pollen records covering the Last Glacial Maximum, deglaciation, and Holocene.

2) To convert pollen percentages into 29 Plant Functional Types (PFTs) grouped into 15 distinct forest, steppe, desert, and tundra biomes.

3) To document large-scale ecosystem shifts, changes in forest boundaries, and movements of the East Asian Monsoon edge since the late Pleistocene.",0,22,TRUE,TRUE,TRUE,Regional,Asia,China,TRUE,FALSE,2434,228,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,eastern continental Asia pollen dataset,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996),
Prentice & Webb (1998), 
Harrison et al. (2010)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Last Glacial Maximum Conditions (22,000–18,000 cal yr BP): Reconstructed a severely restricted forest cover across China. Desert, Steppe, and Tundra biomes expanded heavily into northern and central China, while the limited forest biomes present were pushed south and east toward coastal refugia due to a cold, dry winter monsoon.

Deglaciation and Transitional Phase (14,000–11,000 cal yr BP): Marked by a progressive, steady expansion of temperate deciduous and conifer forests moving northward and inland as the climate warmed.

Holocene Climate Optimum (9,000–5,000 cal yr BP): Characterized by the maximum northward and westward extension of forest biomes. Broad-leaved evergreen and warm-mixed forests shifted north of their modern limits by roughly 1 to 3 degrees of latitude, indicating a highly active and expanded East Asian Summer Monsoon system bringing high moisture levels.

Late Holocene Decline (Last 2,000 years): Documented a sharp retreat of complex forest biomes and a massive expansion of open, human-dominated grasslands and steppe-like signals across eastern China, reflecting the combined effects of late Holocene cooling and widespread anthropogenic land clearance.",NA
36,"Biomization and quantitative climate reconstruction techniques
 in northwestern Mexico—With an application to four 
Holocene pollen sequences","Ortega-Rosas, C. I.",2008,Global and Planetary Change,10.1016/j.gloplacha.2007.10.006,"biomes reconstruction, quantitative climate reconstruction,
 Younger Dryas, monsoon, Holocene variability, NW Mexico","To evaluate and apply the biomization method and quantitative climate
 reconstruction techniques to surface and fossil Holocene pollen data
 in northwestern Mexico","1) To establish a modern pollen calibration dataset of 401 
surface samples for NW Mexico and the SW USA.

2) To assign modern and fossil pollen taxa to specific 
Plant Functional Types (PFTs) and biomes.

3) To reconstruct Holocene altitudinal vegetation shifts
 and climate variations using four peat bog sequences.",0,10.5,TRUE,FALSE,TRUE,Regional,North America,Mexico,TRUE,FALSE,400,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FASLE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Modern surface calibration datasets showed high success (~81%)
 in properly predicting regional desert vs. temperate highland
 forest distributions. The early Holocene (~10.5 to 7.3 kyr BP)
 was colder and more humid, encouraging high-elevation forest
 expansions. The mid-Holocene (~7.3 to 3 kyr BP) was marked
 by severe aridity and increased temperatures, causing
 desertification and lowering the treeline, followed by a transition
 to modern seasonal moisture dynamics in the late Holocene.",NA
37,"Climatic Reconstruction in Europe for 18,000 YR B.P. from Pollen Data","Peyron, O.",1998,Quaternary Research,10.1006/qres.1997.1961,NA,To quantitatively reconstruct the spatial climate patterns of Europe and the Mediterranean region during the Last Glacial Maximum (LGM) using fossil pollen assemblages.,"1) To implement a modified and improved version
 of the ""best modern analogues"" method by utilizing 
groups of pollen types (PFTs) rather than raw individual taxon percentages.

2) To overcome the ""no-analog"" problem associated
 with full-glacial steppic vegetation assemblages.

3) To calculate robust quantitative anomalies for temperature
 (coldest/warmest month, mean annual) and annual precipitation
 compared to modern values across a latitudinal gradient.",0,18,FALSE,FALSE,FALSE,Continental,Europe,"France, Spain, Italy, Greece, Syria, Iran",TRUE,FALSE,1328,15,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FASLE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1992, 1996)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Grouping individual taxa into functional PFT blocks effectively solved the ""no-analog"" issue, providing realistic modern reference matches even for highly distinct full-glacial steppic pollen profiles.",The method of PFTs and biomization well explained in the method section!
38,Climate of East Africa 6000 14C Yr B.P. as Inferred  from Pollen Data,"Peyron, O.",2000,Quaternary Research,10.1006/qres.2000.2136,"climate, Holocene, East Africa, pollen","To generate a quantitative spatial reconstruction of the climate of East Africa during the mid-Holocene (6,000 yr B.P.) using fossil pollen records.","1) To apply and compare two independent quantitative
 approaches: the standard ""best modern analogues"" 
method and the taxon-to-PFT (Plant Functional Type) 
inversion method.

2) To map key climatic parameters (annual precipitation
 and mean annual temperature) and bioclimatic parameters
 across an altitudinal and latitudinal gradient in East Africa.

3) To determine regional climate anomalies and evaluate
 changes in the altitudinal temperature lapse rate during 
the mid-Holocene.",0,6,FALSE,FALSE,FALSE,Regional,Africa,"Kenya, Uganda, Tanzania, Burundi, Ethiopia, Rwanda",TRUE,FALSE,449,32,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,African Pollen Database,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Peyron et al. (1998), Jolly et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"During the mid-Holocene East Africa split along a latitudinal axis: regions north of 3°S experienced substantially wetter conditions (precipitation anomalies exceeding +150mm/year), while locations further south were slightly drier than modern levels.Reconstructed altitudinal data demonstrates that the temperature lapse rate across the East African mountains was noticeably less steep during the mid-Holocene compared to the contemporary baseline.",NA
39,"Pollen-based reconstructions of biome distributions for 
Australia, Southeast Asia and the Pacific (SEAPAC region)
 at 0, 6000 and 18,000 14C yr BP","Pickett, E. J.",2004,Journal of Biogeography,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2004.01001.x,"Biomization, palaeovegetation patterns, palaeoclimate
 reconstructions, plant functional types, drought-limited 
biomes, mid-Holocene, last glacial maximum, 
temperate rain forests.","This paper documents reconstructions of the vegetation patterns
 in Australia, Southeast Asia and the Pacific (SEAPAC region) 
in the midHolocene and at the last glacial maximum (LGM).","1) To compile a comprehensive regional palynological baseline
 covering Australia, Papua New Guinea, Indonesia, and the Pacific islands.

2) To design an assignment matrix allocating over 600 distinct 
pollen types into representative PFTs.

3) To analyze and map vegetation changes to better understand
 past monsoonal variability and temperature shifts.",0,18,FALSE,TRUE,FALSE,Subcontinental,"Australia and Oceania,
Asia","Australia,
 Indonesia,
 Papua New Guinea,
 New Zealand, 
Pacific island nations",TRUE,FALSE,377,147,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Australasian Pollen Database,
Indo-Pacific Pollen Database",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FASLE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Reconstructions at 6000 yr BP displayed an expansion of humid warm forests in northern and eastern Australia, reflecting a more vigorous and active monsoon cycle. 
Conversely, at 18000 yr BP (LGM), lower sea-levels and cooler temperatures 
significantly reduced moisture across the region; forests contracted into 
restricted refugia, while open, dry grass savannas and hyper-arid 
shrublands expanded extensively over the exposed Sunda and 
Sahul continental shelves.",NA
40,Reconstructing biomes from palaeoecological data: a general method and its application to European pollen data at 0 and 6 ka,"Prentice, I. C.",1996,Climate Dynamics,10.1007/BF00211617,NA,"Develop a general biomization method that reconstructs vegetation biomes from fossil pollen using plant functional types (PFTs), and test it on modern and mid-Holocene European pollen data.","1) Develop a universal pollen–PFT–biome framework; 
2) validate it using modern pollen; 
3) reconstruct European vegetation at 6 ka BP; 
4) demonstrate its usefulness for climate-model evaluation.",0,6,NA,NA,NA,Continental,"Europe, Asia, Africa",NA,TRUE,FALSE,2289,343,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FASLE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1992, 1996)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"The biomization method accurately reconstructed modern European biomes and produced a coherent map of European vegetation at 6 ka BP. Compared with the present, temperate deciduous forests extended farther north and to higher elevations, taiga retreated eastward, and Mediterranean xerophytic vegetation was replaced by more mesic forests. These shifts were interpreted as responses to warmer summers, more maritime climates in northern Europe, and wetter growing-season conditions in southern Europe during the mid-Holocene.",NA
